occ_code,occ_title,match_status,imputed_from,dv_beta_imputed,exposure_residual
17-3022,Civil Engineering Technologists and Technicians,direct,,0.5909,0
17-3023,Electrical and Electronic Engineering Technologists and Technicians,direct,,0.4057,0
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,direct,,0.3874,0
17-3025,Environmental Engineering Technologists and Technicians,direct,,0.4079,0
17-3026,Industrial Engineering Technologists and Technicians,direct,,0.419,0
17-3027,Mechanical Engineering Technologists and Technicians,direct,,0.3787,0
17-3028,Calibration Technologists and Technicians,direct,,0.4,0
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",direct,,0.2688,1
17-3031,Surveying and Mapping Technicians,direct,,0.5,0
19-1011,Animal Scientists,direct,,0.5312,0
19-1012,Food Scientists and Technologists,direct,,0.3462,0
19-1013,Soil and Plant Scientists,direct,,0.4891,0
19-1021,Biochemists and Biophysicists,direct,,0.4545,0
19-1022,Microbiologists,direct,,0.3958,0
19-1023,Zoologists and Wildlife Biologists,direct,,0.4524,0
19-1029,"Biological Scientists, All Other",direct,,0.5492,1
19-1031,Conservation Scientists,direct,,0.4394,0
19-1032,Foresters,direct,,0.3676,0
19-1041,Epidemiologists,direct,,0.4423,0
19-1042,"Medical Scientists, Except Epidemiologists",direct,,0.5227,1
19-2011,Astronomers,direct,,0.4375,0
19-2012,Physicists,direct,,0.75,0
19-2021,Atmospheric and Space Scientists,direct,,0.5652,0
19-2031,Chemists,direct,,0.38,0
19-2032,Materials Scientists,direct,,0.4828,0
19-2041,"Environmental Scientists and Specialists, Including Health",direct,,0.5217,0
19-2042,"Geoscientists, Except Hydrologists and Geographers",direct,,0.4667,1
19-2043,Hydrologists,direct,,0.5,0
19-2099,"Physical Scientists, All Other",direct,,0.4565,1
19-3011,Economists,direct,,0.5526,0
19-3022,Survey Researchers,direct,,0.625,0
19-3032,Industrial-Organizational Psychologists,direct,,0.4889,0
19-3033,Clinical and Counseling Psychologists,direct,,0.3704,0
19-3034,School Psychologists,direct,,0.3919,0
19-3039,"Psychologists, All Other",direct,,0.4544,1
19-3041,Sociologists,direct,,0.5385,0
19-3051,Urban and Regional Planners,direct,,0.4773,0
19-3091,Anthropologists and Archeologists,direct,,0.4397,0
19-3092,Geographers,direct,,0.5,0
19-3093,Historians,direct,,0.4737,0
19-3094,Political Scientists,direct,,0.4792,0
19-3099,"Social Scientists and Related Workers, All Other",direct,,0.5233,1
19-4012,Agricultural Technicians,direct,,0.4097,0
19-4013,Food Science Technicians,direct,,0.3571,0
19-4021,Biological Technicians,direct,,0.4167,0
19-4031,Chemical Technicians,direct,,0.3929,0
19-4042,"Environmental Science and Protection Technicians, Including Health",direct,,0.4556,0
19-4043,"Geological Technicians, Except Hydrologic Technicians",direct,,0.3902,1
19-4044,Hydrologic Technicians,direct,,0.5,0
19-4051,Nuclear Technicians,direct,,0.1851,0
19-4061,Social Science Research Assistants,direct,,0.6667,0
19-4071,Forest and Conservation Technicians,direct,,0.3269,0
19-4092,Forensic Science Technicians,direct,,0.3871,0
19-4099,"Life, Physical, and Social Science Technicians, All Other",direct,,0.5348,1
19-5011,Occupational Health and Safety Specialists,direct,,0.3333,0
19-5012,Occupational Health and Safety Technicians,direct,,0.3958,0
21-1012,"Educational, Guidance, and Career Counselors and Advisors",direct,,0.2895,0
