occ_code,occ_title,match_status,imputed_from,dv_beta_imputed,exposure_residual
43-4021,Correspondence Clerks,direct,,0.9643,0
43-4031,"Court, Municipal, and License Clerks",direct,,0.7,0
43-4041,"Credit Authorizers, Checkers, and Clerks",direct,,0.65,0
43-4051,Customer Service Representatives,direct,,0.5682,0
43-4061,"Eligibility Interviewers, Government Programs",direct,,0.68,0
43-4071,File Clerks,direct,,0.7941,0
43-4081,"Hotel, Motel, and Resort Desk Clerks",direct,,0.5,0
43-4111,"Interviewers, Except Eligibility and Loan",direct,,0.6724,1
43-4121,"Library Assistants, Clerical",direct,,0.5345,0
43-4131,Loan Interviewers and Clerks,direct,,0.5938,0
43-4141,New Accounts Clerks,direct,,0.56,0
43-4151,Order Clerks,direct,,0.7143,0
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",direct,,0.6207,1
43-4171,Receptionists and Information Clerks,direct,,0.5333,0
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,direct,,0.4571,0
43-5011,Cargo and Freight Agents,direct,,0.5273,0
43-5021,Couriers and Messengers,direct,,0.3103,0
43-5031,Public Safety Telecommunicators,direct,,0.6562,0
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",direct,,0.6739,1
43-5041,"Meter Readers, Utilities",direct,,0.4375,0
43-5051,Postal Service Clerks,direct,,0.3148,0
43-5052,Postal Service Mail Carriers,direct,,0.2308,0
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",direct,,0.1,0
43-5061,"Production, Planning, and Expediting Clerks",direct,,0.5962,0
43-5071,"Shipping, Receiving, and Inventory Clerks",direct,,0.5,0
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",direct,,0.2931,0
43-6011,Executive Secretaries and Executive Administrative Assistants,direct,,0.6486,0
43-6012,Legal Secretaries and Administrative Assistants,direct,,0.6957,0
43-6013,Medical Secretaries and Administrative Assistants,direct,,0.6667,0
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",direct,,0.6442,1
43-9021,Data Entry Keyers,direct,,0.8929,0
43-9022,Word Processors and Typists,direct,,0.7432,0
43-9031,Desktop Publishers,direct,,0.6452,0
43-9041,Insurance Claims and Policy Processing Clerks,direct,,0.8333,0
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",direct,,0.2162,1
43-9061,"Office Clerks, General",direct,,0.5758,0
43-9071,"Office Machine Operators, Except Computer",direct,,0.3971,1
43-9081,Proofreaders and Copy Markers,direct,,0.975,0
43-9111,Statistical Assistants,direct,,0.8913,0
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",direct,,0.2807,0
45-2011,Agricultural Inspectors,direct,,0.2917,0
45-2021,Animal Breeders,direct,,0.1667,0
45-2041,"Graders and Sorters, Agricultural Products",direct,,0.1,0
45-2091,Agricultural Equipment Operators,direct,,0.0,0
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",direct,,0.1429,0
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",direct,,0.0625,0
45-4011,Forest and Conservation Workers,direct,,0.0435,0
45-4021,Fallers,direct,,0.0312,0
45-4022,Logging Equipment Operators,direct,,0.1875,0
45-4023,Log Graders and Scalers,direct,,0.2105,0
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,direct,,0.4167,0
47-2011,Boilermakers,direct,,0.0303,0
47-2021,Brickmasons and Blockmasons,direct,,0.0385,0
47-2022,Stonemasons,direct,,0.0,0
47-2031,Carpenters,direct,,0.1444,0
47-2041,Carpet Installers,direct,,0.0625,0
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",direct,,0.0,1
47-2043,Floor Sanders and Finishers,direct,,0.0714,0
47-2044,Tile and Stone Setters,direct,,0.0875,0
47-2051,Cement Masons and Concrete Finishers,direct,,0.0,0
47-2053,Terrazzo Workers and Finishers,direct,,0.0,0
47-2061,Construction Laborers,direct,,0.05,0
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",direct,,0.0,0
47-2072,Pile Driver Operators,direct,,0.0,0
47-2073,Operating Engineers and Other Construction Equipment Operators,direct,,0.0543,0
47-2081,Drywall and Ceiling Tile Installers,direct,,0.0417,0
47-2082,Tapers,direct,,0.0,0
47-2111,Electricians,direct,,0.1463,0
47-2121,Glaziers,direct,,0.0833,0
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",direct,,0.05,0
47-2132,"Insulation Workers, Mechanical",direct,,0.0455,0
47-2141,"Painters, Construction and Maintenance",direct,,0.0571,0
47-2142,Paperhangers,direct,,0.027,0
47-2151,Pipelayers,direct,,0.0357,0
47-2152,"Plumbers, Pipefitters, and Steamfitters",direct,,0.0753,0
47-2161,Plasterers and Stucco Masons,direct,,0.0769,0
47-2171,Reinforcing Iron and Rebar Workers,direct,,0.0714,0
47-2181,Roofers,direct,,0.04,0
47-2211,Sheet Metal Workers,direct,,0.0658,0
47-2221,Structural Iron and Steel Workers,direct,,0.0286,0
47-2231,Solar Photovoltaic Installers,direct,,0.11,0
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",direct,,0.0,0
47-3012,Helpers--Carpenters,direct,,0.0,0
47-3013,Helpers--Electricians,direct,,0.0244,0
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",direct,,0.0,0
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",direct,,0.0,0
47-3016,Helpers--Roofers,direct,,0.0,0
47-4011,Construction and Building Inspectors,direct,,0.3341,0
47-4021,Elevator and Escalator Installers and Repairers,direct,,0.1842,0
47-4031,Fence Erectors,direct,,0.0513,0
47-4041,Hazardous Materials Removal Workers,direct,,0.0806,0
47-4051,Highway Maintenance Workers,direct,,0.0161,0
47-4061,Rail-Track Laying and Maintenance Equipment Operators,direct,,0.0,0
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,direct,,0.0781,0
47-5011,"Derrick Operators, Oil and Gas",direct,,0.0,0
47-5012,"Rotary Drill Operators, Oil and Gas",direct,,0.0526,0
47-5013,"Service Unit Operators, Oil and Gas",direct,,0.0645,0
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",direct,,0.0,0
47-5023,"Earth Drillers, Except Oil and Gas",direct,,0.1364,1
47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters",direct,,0.1354,0
47-5041,Continuous Mining Machine Operators,direct,,0.0,0
47-5043,"Roof Bolters, Mining",direct,,0.0,0
47-5044,"Loading and Moving Machine Operators, Underground Mining",direct,,0.0233,0
47-5051,"Rock Splitters, Quarry",direct,,0.0769,0
47-5071,"Roustabouts, Oil and Gas",direct,,0.0,0
47-5081,Helpers--Extraction Workers,direct,,0.0,0
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",direct,,0.4103,0
49-2011,"Computer, Automated Teller, and Office Machine Repairers",direct,,0.3673,0
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",direct,,0.1071,0
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",direct,,0.2812,1
49-2091,Avionics Technicians,direct,,0.24,0
49-2092,"Electric Motor, Power Tool, and Related Repairers",direct,,0.1058,0
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",direct,,0.24,0
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",direct,,0.3077,0
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",direct,,0.34,0
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",direct,,0.1667,0
49-2097,Audiovisual Equipment Installers and Repairers,direct,,0.2381,0
49-2098,Security and Fire Alarm Systems Installers,direct,,0.1667,0
49-3011,Aircraft Mechanics and Service Technicians,direct,,0.1343,0
49-3021,Automotive Body and Related Repairers,direct,,0.0426,0
49-3022,Automotive Glass Installers and Repairers,direct,,0.0,0
49-3023,Automotive Service Technicians and Mechanics,direct,,0.0818,0
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,direct,,0.0,0
49-3041,Farm Equipment Mechanics and Service Technicians,direct,,0.1154,0
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",direct,,0.1,1
49-3043,Rail Car Repairers,direct,,0.0968,0
49-3051,Motorboat Mechanics and Service Technicians,direct,,0.0769,0
49-3052,Motorcycle Mechanics,direct,,0.0,0
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,direct,,0.1786,0
49-3091,Bicycle Repairers,direct,,0.1034,0
49-3092,Recreational Vehicle Service Technicians,direct,,0.0606,0
49-3093,Tire Repairers and Changers,direct,,0.0,0
49-9011,Mechanical Door Repairers,direct,,0.1364,0
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",direct,,0.131,1
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",direct,,0.1053,0
49-9031,Home Appliance Repairers,direct,,0.1455,0
49-9041,Industrial Machinery Mechanics,direct,,0.2742,0
49-9043,"Maintenance Workers, Machinery",direct,,0.1429,0
49-9044,Millwrights,direct,,0.0217,0
49-9045,"Refractory Materials Repairers, Except Brickmasons",direct,,0.0,1
49-9051,Electrical Power-Line Installers and Repairers,direct,,0.0,0
49-9052,Telecommunications Line Installers and Repairers,direct,,0.0312,0
49-9061,Camera and Photographic Equipment Repairers,direct,,0.24,0
49-9062,Medical Equipment Repairers,direct,,0.303,0
49-9063,Musical Instrument Repairers and Tuners,direct,,0.0196,0
49-9064,Watch and Clock Repairers,direct,,0.2,0
49-9071,"Maintenance and Repair Workers, General",direct,,0.1373,0
49-9081,Wind Turbine Service Technicians,direct,,0.0435,0
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",direct,,0.3214,0
49-9092,Commercial Divers,direct,,0.0667,0
49-9094,Locksmiths and Safe Repairers,direct,,0.08,0
49-9095,Manufactured Building and Mobile Home Installers,direct,,0.0769,0
49-9096,Riggers,direct,,0.0,0
49-9097,Signal and Track Switch Repairers,direct,,0.0769,0
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",direct,,0.0333,0
49-9099,"Installation, Maintenance, and Repair Workers, All Other",direct,,0.2097,1
51-1011,First-Line Supervisors of Production and Operating Workers,direct,,0.4,0
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",direct,,0.025,0
51-2021,"Coil Winders, Tapers, and Finishers",direct,,0.2222,0
51-2031,Engine and Other Machine Assemblers,direct,,0.0952,0
51-2041,Structural Metal Fabricators and Fitters,direct,,0.0227,0
51-2051,Fiberglass Laminators and Fabricators,direct,,0.0208,0
51-2061,Timing Device Assemblers and Adjusters,direct,,0.06,0
51-3011,Bakers,direct,,0.2647,0
51-3021,Butchers and Meat Cutters,direct,,0.1316,0
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",direct,,0.0,0
51-3023,Slaughterers and Meat Packers,direct,,0.0,0
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",direct,,0.0667,0
51-3092,Food Batchmakers,direct,,0.1154,0
51-3093,Food Cooking Machine Operators and Tenders,direct,,0.129,0
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",direct,,0.0208,0
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",direct,,0.0417,0
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",direct,,0.1765,0
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",direct,,0.01,0
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",direct,,0.0303,0
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",direct,,0.0645,0
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",direct,,0.1613,0
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",direct,,0.2414,0
51-4041,Machinists,direct,,0.2347,0
51-4051,Metal-Refining Furnace Operators and Tenders,direct,,0.1042,0
51-4052,"Pourers and Casters, Metal",direct,,0.0,0
51-4061,"Model Makers, Metal and Plastic",direct,,0.1613,0
51-4062,"Patternmakers, Metal and Plastic",direct,,0.1522,0
51-4071,Foundry Mold and Coremakers,direct,,0.0,0
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",direct,,0.0814,0
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",direct,,0.1026,0
51-4111,Tool and Die Makers,direct,,0.1875,0
51-4121,"Welders, Cutters, Solderers, and Brazers",direct,,0.0882,0
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",direct,,0.0682,0
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",direct,,0.1765,0
51-4192,"Layout Workers, Metal and Plastic",direct,,0.1304,0
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",direct,,0.1042,0
51-4194,"Tool Grinders, Filers, and Sharpeners",direct,,0.0333,0
51-5111,Prepress Technicians and Workers,direct,,0.4375,0
51-5112,Printing Press Operators,direct,,0.2875,0
51-5113,Print Binding and Finishing Workers,direct,,0.0897,0
51-6011,Laundry and Dry-Cleaning Workers,direct,,0.05,0
51-6021,"Pressers, Textile, Garment, and Related Materials",direct,,0.0104,0
51-6031,Sewing Machine Operators,direct,,0.0814,0
51-6041,Shoe and Leather Workers and Repairers,direct,,0.0588,0
51-6042,Shoe Machine Operators and Tenders,direct,,0.087,0
51-6051,"Sewers, Hand",direct,,0.0417,0
51-6052,"Tailors, Dressmakers, and Custom Sewers",direct,,0.0909,0
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,direct,,0.1579,0
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",direct,,0.1607,0
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",direct,,0.1562,0
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",direct,,0.0857,0
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",direct,,0.069,0
51-6092,Fabric and Apparel Patternmakers,direct,,0.4688,0
51-6093,Upholsterers,direct,,0.1912,0
51-7011,Cabinetmakers and Bench Carpenters,direct,,0.1176,0
51-7021,Furniture Finishers,direct,,0.0286,0
51-7031,"Model Makers, Wood",direct,,0.1538,0
51-7032,"Patternmakers, Wood",direct,,0.2564,0
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",direct,,0.0588,0
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",direct,,0.0652,1
51-8011,Nuclear Power Reactor Operators,direct,,0.3182,0
51-8012,Power Distributors and Dispatchers,direct,,0.375,0
51-8013,Power Plant Operators,direct,,0.1552,0
51-8021,Stationary Engineers and Boiler Operators,direct,,0.1628,0
51-8031,Water and Wastewater Treatment Plant and System Operators,direct,,0.125,0
51-8091,Chemical Plant and System Operators,direct,,0.1515,0
51-8092,Gas Plant Operators,direct,,0.0938,0
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",direct,,0.1951,0
51-8099,"Plant and System Operators, All Other",direct,,0.0946,1
51-9011,Chemical Equipment Operators and Tenders,direct,,0.1522,0
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",direct,,0.1429,0
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",direct,,0.1081,0
51-9022,"Grinding and Polishing Workers, Hand",direct,,0.0357,0
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",direct,,0.1111,0
51-9031,"Cutters and Trimmers, Hand",direct,,0.0,0
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",direct,,0.0682,0
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",direct,,0.075,0
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",direct,,0.16,0
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",direct,,0.4167,0
51-9071,Jewelers and Precious Stone and Metal Workers,direct,,0.2054,0
51-9081,Dental Laboratory Technicians,direct,,0.0417,0
51-9082,Medical Appliance Technicians,direct,,0.1379,0
51-9083,Ophthalmic Laboratory Technicians,direct,,0.0938,0
51-9111,Packaging and Filling Machine Operators and Tenders,direct,,0.0,0
51-9123,"Painting, Coating, and Decorating Workers",direct,,0.0,0
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",direct,,0.0435,0
51-9141,Semiconductor Processing Technicians,direct,,0.2344,0
51-9151,Photographic Process Workers and Processing Machine Operators,direct,,0.38,0
51-9161,Computer Numerically Controlled Tool Operators,direct,,0.25,0
51-9162,Computer Numerically Controlled Tool Programmers,direct,,0.8036,0
51-9191,Adhesive Bonding Machine Operators and Tenders,direct,,0.0645,0
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",direct,,0.1053,0
51-9193,Cooling and Freezing Equipment Operators and Tenders,direct,,0.08,0
51-9194,Etchers and Engravers,direct,,0.1364,0
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",direct,,0.071,1
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",direct,,0.0,0
51-9197,Tire Builders,direct,,0.0192,0
51-9198,Helpers--Production Workers,direct,,0.0889,0
53-1041,Aircraft Cargo Handling Supervisors,direct,,0.3,0
53-2011,"Airline Pilots, Copilots, and Flight Engineers",direct,,0.3523,0
53-2012,Commercial Pilots,direct,,0.2386,0
53-2021,Air Traffic Controllers,direct,,0.3409,0
53-2022,Airfield Operations Specialists,direct,,0.3659,0
53-2031,Flight Attendants,direct,,0.1667,0
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",direct,,0.0909,1
53-3031,Driver/Sales Workers,direct,,0.3333,0
53-3032,Heavy and Tractor-Trailer Truck Drivers,direct,,0.2788,0
53-3033,Light Truck Drivers,direct,,0.3654,0
53-3051,"Bus Drivers, School",direct,,0.3235,0
53-3052,"Bus Drivers, Transit and Intercity",direct,,0.2407,0
53-3053,Shuttle Drivers and Chauffeurs,direct,,0.25,0
53-3054,Taxi Drivers,direct,,0.2812,0
53-4011,Locomotive Engineers,direct,,0.2857,0
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",direct,,0.2045,0
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",direct,,0.1667,0
53-4031,Railroad Conductors and Yardmasters,direct,,0.2778,0
53-4041,Subway and Streetcar Operators,direct,,0.4091,0
53-5011,Sailors and Marine Oilers,direct,,0.0426,0
53-5021,"Captains, Mates, and Pilots of Water Vessels",direct,,0.2636,0
53-5022,Motorboat Operators,direct,,0.0,0
53-5031,Ship Engineers,direct,,0.1719,0
53-6011,Bridge and Lock Tenders,direct,,0.2857,0
53-6021,Parking Attendants,direct,,0.1071,0
53-6031,Automotive and Watercraft Service Attendants,direct,,0.1304,0
53-6032,Aircraft Service Attendants,direct,,0.1389,0
53-6041,Traffic Technicians,direct,,0.463,0
53-6051,Transportation Inspectors,direct,,0.4126,0
53-6061,Passenger Attendants,direct,,0.2222,0
53-7011,Conveyor Operators and Tenders,direct,,0.1034,0
53-7021,Crane and Tower Operators,direct,,0.1842,0
53-7031,Dredge Operators,direct,,0.0,0
53-7041,Hoist and Winch Operators,direct,,0.0,0
53-7051,Industrial Truck and Tractor Operators,direct,,0.0312,0
53-7061,Cleaners of Vehicles and Equipment,direct,,0.0833,0
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",direct,,0.0417,0
53-7063,Machine Feeders and Offbearers,direct,,0.0909,0
53-7064,"Packers and Packagers, Hand",direct,,0.1,0
53-7065,Stockers and Order Fillers,direct,,0.1818,0
53-7071,Gas Compressor and Gas Pumping Station Operators,direct,,0.2692,0
53-7072,"Pump Operators, Except Wellhead Pumpers",direct,,0.25,1
53-7073,Wellhead Pumpers,direct,,0.0,0
53-7081,Refuse and Recyclable Material Collectors,direct,,0.1964,0
53-7121,"Tank Car, Truck, and Ship Loaders",direct,,0.0714,0
11-2030,Public Relations and Fundraising Managers,sibling_imputed,"['11-2011', '11-2021', '11-2022', '11-2032', '11-2033']",0.5078,0
11-3010,Administrative Services and Facilities Managers,sibling_imputed,"['11-3012', '11-3013', '11-3021', '11-3031', '11-3051', '11-3061', '11-3071']",0.4693,0
11-9039,"Education Administrators, All Other",sibling_imputed,"['11-9013', '11-9021', '11-9031', '11-9032', '11-9033', '11-9041', '11-9051', '11-9071', '11-9072', '11-9081']",0.438,1
11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",sibling_imputed,"['11-9111', '11-9121', '11-9131', '11-9141', '11-9151', '11-9161', '11-9171', '11-9179', '11-9199']",0.457,1
13-1020,Buyers and Purchasing Agents,sibling_imputed,"['13-1011', '13-1021', '13-1022', '13-1023', '13-1031', '13-1032', '13-1041', '13-1051', '13-1071', '13-1074', '13-1075', '13-1081', '13-1082']",0.4977,0
13-1198,"Project Management Specialists and Business Operations Specialists, All Other",sibling_imputed,"['13-1111', '13-1121', '13-1131', '13-1141', '13-1151', '13-1161', '13-1199']",0.5063,1
13-2020,Property Appraisers and Assessors,sibling_imputed,"['13-2011', '13-2022', '13-2023', '13-2031', '13-2041', '13-2051', '13-2052', '13-2053', '13-2054', '13-2061', '13-2071', '13-2072', '13-2081', '13-2082', '13-2099']",0.5513,0
13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",sibling_imputed,"['13-2011', '13-2022', '13-2023', '13-2031', '13-2041', '13-2051', '13-2052', '13-2053', '13-2054', '13-2061', '13-2071', '13-2072', '13-2081', '13-2082', '13-2099']",0.5513,1
15-1245,Database Administrators and Architects,sibling_imputed,"['15-1211', '15-1212', '15-1221', '15-1231', '15-1232', '15-1241', '15-1242', '15-1243', '15-1244', '15-1251', '15-1252', '15-1253', '15-1254', '15-1255', '15-1299']",0.765,0
15-1256,Software Developers and Software Quality Assurance Analysts and Testers,sibling_imputed,"['15-1211', '15-1212', '15-1221', '15-1231', '15-1232', '15-1241', '15-1242', '15-1243', '15-1244', '15-1251', '15-1252', '15-1253', '15-1254', '15-1255', '15-1299']",0.765,0
15-1257,Web Developers and Digital Interface Designers,sibling_imputed,"['15-1211', '15-1212', '15-1221', '15-1231', '15-1232', '15-1241', '15-1242', '15-1243', '15-1244', '15-1251', '15-1252', '15-1253', '15-1254', '15-1255', '15-1299']",0.765,0
15-2098,"Data Scientists and Mathematical Science Occupations, All Other",sibling_imputed,"['15-2011', '15-2021', '15-2031', '15-2041', '15-2051', '15-2099']",0.7359,1
17-3019,"Drafters, All Other",sibling_imputed,"['17-3011', '17-3012', '17-3013', '17-3021', '17-3022', '17-3023', '17-3024', '17-3025', '17-3026', '17-3027', '17-3028', '17-3029', '17-3031']",0.4383,1
17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",sibling_imputed,"['17-3011', '17-3012', '17-3013', '17-3021', '17-3022', '17-3023', '17-3024', '17-3025', '17-3026', '17-3027', '17-3028', '17-3029', '17-3031']",0.4383,1
19-1099,"Life Scientists, All Other",sibling_imputed,"['19-1011', '19-1012', '19-1013', '19-1021', '19-1022', '19-1023', '19-1029', '19-1031', '19-1032', '19-1041', '19-1042']",0.4537,1
19-3031,"Clinical, Counseling, and School Psychologists",sibling_imputed,"['19-3011', '19-3022', '19-3032', '19-3033', '19-3034', '19-3039', '19-3041', '19-3051', '19-3091', '19-3092', '19-3093', '19-3094', '19-3099']",0.4857,0
19-4010,Agricultural and Food Science Technicians,sibling_imputed,"['19-4012', '19-4013', '19-4021', '19-4031', '19-4042', '19-4043', '19-4044', '19-4051', '19-4061', '19-4071', '19-4092', '19-4099']",0.4186,0
19-4045,Geological and Hydrologic Technicians,sibling_imputed,"['19-4012', '19-4013', '19-4021', '19-4031', '19-4042', '19-4043', '19-4044', '19-4051', '19-4061', '19-4071', '19-4092', '19-4099']",0.4186,0
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",sibling_imputed,"['21-1011', '21-1012', '21-1013', '21-1014', '21-1015', '21-1021', '21-1022', '21-1023', '21-1091', '21-1092', '21-1093', '21-1094']",0.3089,0
21-1019,"Counselors, All Other",sibling_imputed,"['21-1011', '21-1012', '21-1013', '21-1014', '21-1015', '21-1021', '21-1022', '21-1023', '21-1091', '21-1092', '21-1093', '21-1094']",0.3089,1
21-1029,"Social Workers, All Other",sibling_imputed,"['21-1011', '21-1012', '21-1013', '21-1014', '21-1015', '21-1021', '21-1022', '21-1023', '21-1091', '21-1092', '21-1093', '21-1094']",0.3089,1
21-1099,"Community and Social Service Specialists, All Other",sibling_imputed,"['21-1011', '21-1012', '21-1013', '21-1014', '21-1015', '21-1021', '21-1022', '21-1023', '21-1091', '21-1092', '21-1093', '21-1094']",0.3089,1
21-2099,"Religious Workers, All Other",sibling_imputed,"['21-2011', '21-2021']",0.3864,1
23-2099,"Legal Support Workers, All Other",sibling_imputed,"['23-2011', '23-2093']",0.5482,1
25-1069,"Social Sciences Teachers, Postsecondary, All Other",sibling_imputed,"['25-1011', '25-1021', '25-1022', '25-1031', '25-1032', '25-1041', '25-1042', '25-1043', '25-1051', '25-1052', '25-1053', '25-1054', '25-1061', '25-1062', '25-1063', '25-1064', '25-1065', '25-1066', '25-1067', '25-1071', '25-1072', '25-1081', '25-1082']",0.4809,1
25-1199,"Postsecondary Teachers, All Other",sibling_imputed,"['25-1111', '25-1112', '25-1113', '25-1121', '25-1122', '25-1123', '25-1124', '25-1125', '25-1126', '25-1192', '25-1193', '25-1194']",0.4915,1
25-2052,"Special Education Teachers, Kindergarten and Elementary School",sibling_imputed,"['25-2011', '25-2012', '25-2021', '25-2022', '25-2023', '25-2031', '25-2032', '25-2051', '25-2055', '25-2056', '25-2057', '25-2058', '25-2059']",0.3043,0
25-3097,"Tutors and Teachers and Instructors, All Other",sibling_imputed,"['25-3011', '25-3021', '25-3031', '25-3041']",0.4171,1
25-3099,"Teachers and Instructors, All Other",sibling_imputed,"['25-3011', '25-3021', '25-3031', '25-3041']",0.4171,1
25-9045,"Teaching Assistants, Except Postsecondary",sibling_imputed,"['25-9021', '25-9031', '25-9042', '25-9043', '25-9044']",0.4043,1
25-9099,"Educational Instruction and Library Workers, All Other",sibling_imputed,"['25-9021', '25-9031', '25-9042', '25-9043', '25-9044']",0.4043,1
27-1019,"Artists and Related Workers, All Other",sibling_imputed,"['27-1011', '27-1012', '27-1013', '27-1014', '27-1021', '27-1022', '27-1023', '27-1024', '27-1025', '27-1026', '27-1027']",0.4055,1
27-1029,"Designers, All Other",sibling_imputed,"['27-1011', '27-1012', '27-1013', '27-1014', '27-1021', '27-1022', '27-1023', '27-1024', '27-1025', '27-1026', '27-1027']",0.4055,1
27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",sibling_imputed,"['27-2011', '27-2012', '27-2021', '27-2022', '27-2023', '27-2031', '27-2032', '27-2041', '27-2042', '27-2091']",0.3207,1
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",sibling_imputed,"['27-2011', '27-2012', '27-2021', '27-2022', '27-2023', '27-2031', '27-2032', '27-2041', '27-2042', '27-2091']",0.3207,1
27-3099,"Media and Communication Workers, All Other",sibling_imputed,"['27-3011', '27-3023', '27-3031', '27-3041', '27-3042', '27-3043', '27-3091', '27-3092']",0.7442,1
27-4098,"Lighting Technicians and Media and Communication Equipment Workers, All Other",sibling_imputed,"['27-4011', '27-4012', '27-4014', '27-4015', '27-4021', '27-4031', '27-4032']",0.4116,1
27-4099,"Media and Communication Equipment Workers, All Other",sibling_imputed,"['27-4011', '27-4012', '27-4014', '27-4015', '27-4021', '27-4031', '27-4032']",0.4116,1
