supersector_code,supersector_name,year,quarter_label,quarter,event_time,post,employment,avg_hourly_earnings,log_emp,log_wage,log_wbill,n_months,preliminary,aiie_score,aiie_zscore,n_naics
20,Construction,2020,Q2,2,-10,0,6895.0,31.46333333333333,8.838551790227402,3.4488228466687434,12.287374636896146,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2020,Q3,3,-9,0,7225.0,31.796666666666667,8.885302512980633,3.459361462489007,12.34466397546964,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2020,Q4,4,-8,0,7326.333333333333,31.996666666666663,8.899230442349165,3.465631730707336,12.3648621730565,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2021,Q1,1,-7,0,7346.333333333333,32.223333333333336,8.901956601518581,3.4726908278084045,12.374647429326986,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2021,Q2,2,-6,0,7394.666666666667,32.696666666666665,8.908514298627503,3.4872731359081146,12.395787434535618,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2021,Q3,3,-5,0,7447.0,33.09,8.915566545710645,3.499231121933521,12.414797667644166,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2021,Q4,4,-4,0,7558.333333333333,33.49333333333333,8.930405986315227,3.5113464140517787,12.441752400367006,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2022,Q1,1,-3,0,7646.0,33.97666666666667,8.941937914256359,3.525674014512212,12.46761192876857,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2022,Q2,2,-2,0,7732.333333333333,34.52333333333333,8.95316595028016,3.5416354239326777,12.49480137421284,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2022,Q3,3,-1,0,7808.333333333333,34.95333333333333,8.962946818438514,3.554013838476277,12.51696065691479,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2022,Q4,4,0,1,7865.0,35.45666666666667,8.970177815492379,3.568311293595464,12.53848910908784,3,0,-0.9969999999999999,-1.4044879005988997,10
