supersector_code,aiie_score,n_naics,aiie_zscore
10,-1.0077500000000001,8,-1.4187037685181998
20,-0.9969999999999999,10,-1.4044879005988997
30,-0.4842463768115944,69,-0.7264192696790112
31,-0.13620588235294115,34,-0.2661683208611494
32,-0.8223428571428572,35,-1.1735201913877908
40,0.13299999999999998,3,0.08983123882517405
41,0.2641,10,0.26319870712472815
42,-0.012833333333333337,24,-0.10301968256067617
43,-0.39271428571428574,28,-0.6053766541053686
50,1.2676666666666667,9,1.5903216077335953
55,1.5380833333333335,12,1.947922316246215
60,0.653952380952381,21,0.7787419588125052
65,0.7744800000000001,25,0.9381284437435413
70,-0.3152,15,-0.5028712729357727
80,-0.025538461538461527,13,-0.11982102437108297
90,0.6036666666666667,3,0.7122438125321925
