NAICS,Industry Title,AIIE
4812,Nonscheduled Air Transportation,0.113
4821,Rail Transportation,-0.592
4831,"Deep Sea, Coastal, and Great Lakes Water Transportation",-0.328
4832,Inland Water Transportation,-0.872
4840,Truck Transportation,-1.282
4851,Urban Transit Systems,-0.120
4852,Interurban and Rural Bus Transportation,-0.046
4853,Taxi and Limousine Service,1.370
4854,School and Employee Bus Transportation,0.077
4855,Charter Bus Industry,0.009
4859,Other Transit and Ground Passenger Transportation,0.962
4861,Pipeline Transportation of Crude Oil,-0.134
4862,Pipeline Transportation of Natural Gas,-0.090
4869,Other Pipeline Transportation,-0.039
4871,"Scenic and Sightseeing Transportation, Land",0.404
4872,"Scenic and Sightseeing Transportation, Water",-0.668
4879,"Scenic and Sightseeing Transportation, Other",0.187
4881,Support Activities for Air Transportation,-0.335
4882,Support Activities for Rail Transportation,-1.475
4883,Support Activities for Water Transportation,-1.411
4884,Support Activities for Road Transportation,-0.950
4885,Freight Transportation Arrangement,1.025
4889,Other Support Activities for Transportation,-1.106
4911,Postal Service (federal government),-1.315
4921,Couriers and Express Delivery Services,-1.150
4922,Local Messengers and Local Delivery,-1.183
4931,Warehousing and Storage,-1.591
5111,"Newspaper, Periodical, Book, and Directory Publishers",1.338
5112,Software Publishers,1.966
5121,Motion Picture and Video Industries,0.403
5122,Sound Recording Industries,1.434
5151,Radio and Television Broadcasting,1.430
5152,Cable and Other Subscription Programming,1.098
5170,Telecommunications,0.247
5182,"Data Processing, Hosting, and Related Services",1.743
5191,Other Information Services,1.750
5211,Monetary Authorities-Central Bank,1.770
5220,Credit Intermediation and Related Activities (5221 And 5223 only),1.889
5222,Nondepository Credit Intermediation,2.113
5230,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",2.219
5241,Insurance Carriers,2.059
5242,"Agencies, Brokerages, and Other Insurance Related Activities",2.121
5251,Insurance and Employee Benefit Funds,2.180
5259,Other Investment Pools and Funds,2.070
5310,Real Estate,0.524
5320,"Rental and Leasing Services (5322, 5323, and 5324 only)",-0.271
5321,Automotive Equipment Rental and Leasing,-0.128
5331,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),1.911
5411,Legal Services,2.157
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",2.216
5413,"Architectural, Engineering, and Related Services",1.493
5414,Specialized Design Services,1.281
5415,Computer Systems Design and Related Services,1.860
5416,"Management, Scientific, and Technical Consulting Services",1.805
5417,Scientific Research and Development Services,1.635
5418,"Advertising, Public Relations, and Related Services",1.306
5419,"Other Professional, Scientific, and Technical Services",0.602
5511,Management of Companies and Enterprises,1.699
5611,Office Administrative Services,1.754
5612,Facilities Support Services,-1.008
5613,Employment Services,-0.723
5614,Business Support Services,1.705
5615,Travel Arrangement and Reservation Services,1.683
5616,Investigation and Security Services,-0.344
5617,Services to Buildings and Dwellings,-1.999
5619,Other Support Services,-0.476
5621,Waste Collection,-1.332
5622,Waste Treatment and Disposal,-0.797
5629,Remediation and Other Waste Management Services,-0.784
6111,Elementary and Secondary Schools,1.316
6112,Junior Colleges,1.530
6113,"Colleges, Universities, and Professional Schools",1.457
6114,Business Schools and Computer and Management Training,1.741
6115,Technical and Trade Schools,0.947
6116,Other Schools and Instruction,0.673
6117,Educational Support Services,1.605
